Total_Value,Year,Month,Day,Hour,Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
263.001,2021,6,3,10,29.5,15.125,25.438,168.313,17.625,7.0
111.18799999999999,2021,6,3,11,104.25,1.25,5.688,0.0,0.0,0.0
312.75,2021,6,3,12,4.875,40.25,43.375,196.875,17.625,9.75
71.188,2021,6,3,13,3.75,24.313,34.125,0.0,0.0,9.0
307.001,2021,6,3,14,144.375,28.875,45.063,45.938,34.75,8.0
300.001,2021,6,3,15,73.875,26.563,41.0,114.813,35.25,8.5
294.001,2021,6,3,16,78.125,23.813,42.0,126.313,16.75,7.0
9.687999999999999,2021,6,3,17,1.125,1.6880000000000002,6.875,0.0,0.0,0.0
276.751,2021,6,3,18,86.125,24.313,40.188,89.625,30.75,5.75
273.501,2021,6,3,19,85.625,19.563,36.75,86.31299999999997,39.25,6.0
256.0,2021,6,3,20,47.5,32.25,30.125,122.0,18.125,6.0
236.251,2021,6,3,21,71.0,21.438,20.0,100.938,16.625,6.25
124.251,2021,6,3,22,27.25,12.625,8.562999999999999,59.313,10.75,5.75
193.00099999999998,2021,6,3,23,64.875,15.0,7.563,75.688,23.875,6.0
182.188,2021,6,4,0,110.0,13.563,6.375,0.0,46.25,6.0
311.688,2021,6,4,1,275.75,8.75,9.813,0.0,11.125,6.25
14.251,2021,6,4,2,2.5,1.938,9.813,0.0,0.0,0.0
141.0,2021,6,4,3,6.0,12.875,3.25,83.875,29.0,6.0
99.0,2021,6,4,4,3.875,10.25,4.0,57.625,17.25,6.0
6.938,2021,6,4,5,1.75,1.188,4.0,0.0,0.0,0.0
143.25,2021,6,4,6,12.5,14.125,5.875,72.125,32.875,5.75
106.501,2021,6,4,7,20.125,10.313,4.688,49.75,15.625,6.0
43.0,2021,6,4,8,40.875,1.125,1.0,0.0,0.0,0.0
234.5,2021,6,4,9,52.375,15.25,18.0,119.0,23.375,6.5
151.001,2021,6,4,10,40.5,18.063,20.188,49.0,16.75,6.5
9.187999999999999,2021,6,4,11,2.5,2.813,3.875,0.0,0.0,0.0
310.501,2021,6,4,12,63.75,33.063,36.125,145.563,25.5,6.5
269.813,2021,6,4,13,177.5,24.25,34.688,0.0,25.875,7.5
12.562999999999999,2021,6,4,14,7.875,2.688,2.0,0.0,0.0,0.0
297.5,2021,6,4,15,52.375,41.75,39.25,130.75,25.375,8.0
177.5,2021,6,4,16,93.5,11.25,12.375,15.0,45.375,0.0
552.4390000000002,2021,6,4,17,134.875,25.938,30.938,0.0,354.6880000000001,6.0
456.439,2021,6,4,18,81.875,24.188,29.313,0.0,314.563,6.5
395.18800000000005,2021,6,4,19,32.25,21.875,26.938,0.0,307.625,6.5
383.81300000000005,2021,6,4,20,66.125,24.5,25.063,0.0,262.125,6.0
354.001,2021,6,4,21,77.75,16.5,18.063,0.0,235.688,6.0
233.25099999999998,2021,6,4,22,18.0,12.188,10.625,11.688,176.0,4.75
234.25,2021,6,4,23,33.375,15.875,6.875,0.0,172.375,5.75
171.0,2021,6,5,0,33.375,13.0,7.125,78.5,33.0,6.0
119.001,2021,6,5,1,41.5,8.687999999999999,2.75,42.438,18.625,5.0
143.75,2021,6,5,2,71.625,11.875,9.0,16.0,29.0,6.25
129.251,2021,6,5,3,57.0,10.438,6.125,28.063,21.875,5.75
116.0,2021,6,5,4,3.75,9.375,3.375,80.875,13.625,5.0
135.001,2021,6,5,5,8.875,13.25,7.438,74.938,24.5,6.0
134.751,2021,6,5,6,6.0,14.563,6.0,80.438,21.5,6.25
116.751,2021,6,5,7,5.125,7.813,4.375,81.563,13.125,4.75
130.5,2021,6,5,8,8.875,12.25,7.375,78.25,17.75,6.0
